pAFT2	pHSP27	pP38	pP90	pMEK	pSTAT3	GROUP	TREATMENT
1113.8	112	225.3	235	1711.05	1711.1	H	Control
433.3	132	156.3	86	224.05	1711.1	H	Control
232.3	193	284.3	76	224.05	1915.1	H	Control
726.8	176	174.3	87	843.05	382.1	H	Control
1538.3	101	252.3	228.5	2196.05	1199.1	H	Control
1068.3	311	265.3	97	995.05	546.6	H	Control
852.8	319	313.3	162	2159.05	294.1	H	Control
191.3	352	181.8	79	361.05	1360.1	H	Control
2826.8	156	229.3	229.5	765.55	316.1	H	Control
735.3	195	318.8	181	1711.05	1642.2	RA	Control
1049.3	247.5	215.3	149	1711.05	1858.2	RA	Control
757.3	258.5	201.3	138	1915.05	1317.2	RA	Control
196.3	448	181.8	70	382.05	1429.7	RA	Control
1191.8	116.5	243.3	182	1199.05	933.7	RA	Control
385.3	199	238.3	116	546.55	751.7	RA	Control
170.8	281	168.8	75	294.05	1745.2	RA	Control
710.3	312	229.8	82.5	1360.05	2001.2	RA	Control
1088.3	208	281.3	94	316.05	846.2	RA	Control
2607.8	847.5	299.8	187	2748.05	4023.1	H	LPS
3491.3	139.5	245.3	118	2975.05	3261.1	H	LPS
910.3	842	458.3	194	1063.05	3081.1	H	LPS
6485.8	7062	300.3	110	1295.05	1127.1	H	LPS
7358.3	1062	540.3	351	2160.05	2934.6	H	LPS
4189.3	2395	400.8	135	1403.55	859.1	H	LPS
2321.3	4381	335.3	93	1453.05	1172.6	H	LPS
1418.8	4176	540.3	152	2632.05	656.1	H	LPS
7546.3	713	447.3	366	1647.05	1527.1	H	LPS
3892.8	8861.5	374.3	120	4023.05	9921.3	RA	LPS
4634.3	2031	596.3	380	3261.05	6764.3	RA2	LPS
3965.3	2127	629.8	575.5	3081.05	6582.8	RA3	LPS
1276.8	3239	513.3	132	1127.05	4869.3	RA4	LPS
3465.8	2361	493.3	236	2934.55	7372.3	RA5	LPS
1328.8	1939	460.3	119	859.05	5084.3	RA7	LPS
1765.3	6349	618.8	171	1172.55	3483.2	RA8	LPS
700.3	14932.5	271.3	73	656.05	11269.3	RA9	LPS
4318.3	1871	590.3	302.5	1527.05	3226.2	RA11	LPS
