#OTU ID	HFD1	HFD2	HFD3	HFD4	HFD5	HFD6	NC1	NC10	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
zotu1	16948	3653	22457	22377	24111	17488	0	0	0	0	0	0	0	0	0	0
zotu10	18	54	197	164	10	22	100	245	2327	556	4111	512	779	991	1255	179
zotu100	0	0	0	0	0	0	49	0	134	120	84	36	0	0	0	0
zotu101	0	0	16	0	4	4	18	48	16	24	6	24	57	125	151	78
zotu102	2	10	127	95	15	21	2	33	3	12	4	5	68	4	10	3
zotu103	95	18	0	0	0	0	0	273	0	0	0	0	29	71	95	56
zotu104	0	0	0	0	0	2	2	27	2	2	0	0	144	110	30	46
zotu105	9	10	126	3	113	59	23	25	47	52	32	39	53	20	16	16
zotu106	126	17	5	0	14	27	3	301	0	0	0	1	51	68	100	73
zotu107	4	0	0	123	0	0	13	0	25	136	30	67	0	0	0	0
zotu108	0	0	0	0	0	0	27	43	19	61	3	42	169	91	31	30
zotu109	5	48	88	27	151	37	8	8	7	16	1	10	7	47	13	12
zotu11	0	1	3830	1	4873	1847	11	1055	244	20	220	71	2180	2069	0	125
zotu110	3	15	42	8	88	17	21	36	39	35	29	20	143	135	87	15
zotu111	0	1	0	0	0	0	103	4	28	36	13	114	4	11	18	36
zotu112	4	12	49	6	72	28	25	37	32	38	19	15	138	130	93	35
zotu113	65	112	0	79	0	0	1	2	1	4	0	0	2	0	0	2
zotu114	0	0	0	0	0	0	132	4	1	9	1	0	0	0	0	4
zotu115	0	0	1	0	0	0	0	0	0	0	0	0	127	2	0	0
zotu116	0	0	0	0	0	0	54	0	83	126	76	39	0	0	0	0
zotu117	0	0	0	0	0	0	26	0	120	4	81	100	0	0	1	0
zotu118	0	0	0	0	0	0	18	0	119	35	2	83	0	0	0	0
zotu119	1	23	72	14	3	10	9	59	1	3	6	36	50	26	104	51
zotu12	0	0	0	0	0	0	0	0	316	3376	1022	2359	0	0	0	0
zotu120	0	0	93	0	21	27	26	17	71	49	28	51	61	0	36	26
zotu121	1	108	0	21	0	0	0	2	0	1	0	0	0	0	0	0
zotu122	0	0	0	0	0	0	0	0	0	117	6	29	11	20	0	0
zotu123	0	0	107	0	26	41	47	28	62	62	41	44	64	0	37	16
zotu124	0	0	1	0	0	2	40	3	9	35	12	90	15	0	3	11
zotu125	0	0	7	0	86	1	7	0	34	11	21	19	0	0	0	0
zotu126	0	0	0	0	0	0	0	55	0	0	0	0	102	0	78	31
zotu127	0	6	0	5	3	7	101	12	1	22	0	0	0	15	11	17
zotu128	2	18	22	4	82	6	18	10	9	22	1	7	8	7	4	12
zotu129	0	0	0	0	0	0	21	33	31	40	30	29	89	12	74	33
zotu13	0	0	0	0	0	0	0	0	358	3240	1088	2514	0	0	0	0
zotu130	1	8	78	1	32	25	7	32	11	15	0	9	98	57	20	12
zotu131	0	0	0	0	0	0	64	0	76	74	30	110	0	0	0	0
zotu132	0	0	2	0	0	0	0	34	0	0	0	0	88	45	19	10
zotu133	0	0	76	0	42	83	0	1	4	0	0	1	1	3	0	0
zotu134	0	0	0	0	0	0	39	0	86	58	60	68	0	0	0	0
zotu135	0	0	0	0	0	0	2	10	4	0	0	0	1	24	76	33
zotu136	0	0	0	0	0	0	48	21	87	49	60	69	29	7	23	10
zotu137	0	0	0	0	0	0	0	0	0	90	5	28	9	40	0	0
zotu138	0	0	0	0	0	0	3	0	32	97	18	17	1	0	0	0
zotu139	0	20	0	1	0	0	21	33	17	25	21	28	47	20	85	26
zotu14	0	0	0	0	0	0	0	0	315	3087	898	2054	0	0	0	0
zotu140	0	2	2	5	0	0	72	17	3	4	1	0	0	0	8	9
zotu141	0	0	16	0	13	8	38	0	91	63	33	60	0	0	0	0
zotu142	6	14	20	5	71	3	8	11	6	11	0	13	14	7	5	2
zotu143	0	3	0	1	0	1	70	0	17	5	7	32	0	0	0	0
zotu144	0	0	0	0	0	0	4	0	78	14	0	28	0	0	0	0
zotu145	1	2	66	0	1	0	1	0	0	0	0	0	0	0	1	0
zotu146	0	0	7	0	61	1	4	0	14	8	9	6	0	0	0	0
zotu147	0	15	70	11	2	6	5	47	16	2	3	35	37	14	68	42
zotu148	0	14	59	2	3	6	1	14	2	4	0	3	13	4	0	4
